year,pmed_pct,pmed_pct_se,pmed_n,pmed_n_se
2017,71.46463747474822,2.4229926675593867,6186803.178324997,486780.8006995454
2018,77.7977579802736,1.7574856755379133,6765151.536552998,602401.7045700918
2019,78.36468142899881,1.9478308021263542,6482633.226987994,513154.0998313887
2020,80.24677870473911,1.8354718462062234,6685465.250809999,562220.6426746929
2021,74.12807959060889,2.060961868410853,6699372.178002995,520016.47447018116
2022,73.60674408003415,2.240165171230553,8142933.513878997,648678.3982659589
2023,71.32522731289566,2.0443350251265464,7978016.660877005,705452.9318180794
