"","year","weighted_n","weighted_n_se","prev_pct","prev_pct_se"
"1",2017,8657153.239616,545633.51661141,2.66554457722279,0.139554500145688
"2",2018,8695818.121479,714895.124786095,2.66474869139018,0.161468021731146
"3",2019,8272391.47633299,587428.493108562,2.52671809301549,0.133951703350879
"4",2020,8331132.238228,629980.664195361,2.53576365850754,0.145921354073745
"5",2021,9037563.383541,637782.564979988,2.72832601750891,0.151177318336254
"6",2022,11062754.664199,741435.968090945,3.32161745970545,0.174576149327662
"7",2023,11185406.568532,865274.97227133,3.34361565026862,0.1993611340788
